Data,Link
2020-05-01,https://observador.pt/2020/05/01/gnr-ja-comecou-operacoes-de-fiscalizacao-nas-estradas-nao-ha-circulacao-entre-concelhos/
2020-05-02,https://observador.pt/2020/05/02/morreram-mais-1-883-pessoas-nos-eua-no-ultimo-dia/
2020-05-03,https://observador.pt/2020/05/03/comissao-europeia-desaconselha-viagens-para-fora-da-ue-ate-ao-final-do-ano/
2020-05-04,https://observador.pt/2020/05/04/o-primeiro-dia-de-desconfinamento-parte-do-comercio-reabre-e-a-mascara-torna-se-obrigatoria/
2020-05-05,https://observador.pt/2020/05/05/estados-unidos-com-1-015-mortos-nas-ultimas-24-horas/
2020-05-06,https://observador.pt/2020/05/06/eua-admitem-desmantelar-equipa-de-resposta-a-covid-19-no-mesmo-dia-em-que-mais-de-2-mil-morrem-no-pais-china-continua-sem-novas-mortes/
2020-05-07,https://observador.pt/2020/05/07/com-os-eua-perto-dos-75-mil-mortos-trump-diz-temos-de-ser-guerreiros-nao-podemos-ter-o-pais-fechados-durante-anos/
2020-05-08,https://observador.pt/2020/05/08/china-regista-um-novo-caso-mais-2-448-pessoas-morreram-nos-estados-unidos-onde-ja-ha-125-milhoes-de-infetados/
2020-05-09,https://observador.pt/2020/05/09/uma-em-cada-quatro-pessoas-de-familias-que-ganhavam-ate-650-euros-perdeu-todo-o-rendimento/
2020-05-10,https://observador.pt/2020/05/10/tres-membros-da-taskforce-covid-19-da-casa-branca-em-isolamento-depois-de-contactarem-com-infetados-anthony-fauci-e-um-deles/
2020-05-11,https://observador.pt/2020/05/11/europa-tem-agora-mais-de-milhao-e-meio-de-infecoes-por-coronavirus-varios-paises-levantam-hoje-mais-restricoes/
2020-05-12,https://observador.pt/2020/05/12/com-27-003-mortos-nova-iorque-ultrapassa-o-numero-de-vitimas-de-espanha/
2020-05-13,https://observador.pt/2020/05/13/mais-de-290-mil-mortes-confirmadas-em-todo-o-mundo-casos-sao-ja-mais-de-quatro-milhoes/
2020-05-14,https://observador.pt/2020/05/14/novo-coronavirus-faz-mais-de-1-800-mortos-nos-estados-unidos-da-america-nas-ultimas-24-horas/
2020-05-15,https://observador.pt/2020/05/15/governo-reune-se-para-decidir-proxima-fase-de-desconfinamento/
2020-05-16,https://observador.pt/2020/05/16/italia-vai-reabrir-as-fronteiras-a-3-de-junho-sem-necessidade-de-quarentena/
2020-05-17,https://observador.pt/2020/05/17/china-com-mais-cinco-casos-retoma-aulas-presenciais-e-voos/
2020-05-18,https://observador.pt/2020/05/18/comeca-a-segunda-fase-de-desconfinamento-milhares-de-alunos-regressam-as-aulas/
2020-05-19,https://observador.pt/2020/05/19/mais-759-mortes-nos-eua-e-trump-ameaca-sair-da-oms/
2020-05-20,https://observador.pt/2020/05/20/em-dia-de-recorde-no-numero-de-mortes-no-brasil-trump-pondera-impedir-voos-de-la-nao-quero-que-infetem-o-nosso-povo/
2020-05-21,https://observador.pt/2020/05/21/covid-19-ja-infetou-mais-de-cinco-milhoes-de-pessoas-em-todo-o-mundo/
2020-05-22,https://observador.pt/2020/05/22/mortes-nos-eua-aproximam-se-das-95-mil-mais-de-2-milhoes-ja-recuperaram-da-covid-19/
2020-05-23,https://observador.pt/2020/05/23/china-nao-regista-qualquer-caso-pela-primeira-vez-desde-o-inicio-da-pandemia/
2020-05-24,https://observador.pt/2020/05/24/ja-morreram-perto-de-97-mil-pessoas-nos-eua-e-ha-mais-de-16-milhoes-de-infetados/
2020-05-25,https://observador.pt/2020/05/25/espanha-confinamento-comeca-a-ser-aliviado-nas-regioes-mais-atingidas/
2020-05-26,https://observador.pt/2020/05/26/covid-19-perto-das-350-mil-vitimas-mortais-em-todo-o-mundo-das-quais-quase-100-mil-sao-nos-eua/
2020-05-27,https://observador.pt/2020/05/27/comissao-europeia-prepara-se-para-apresentar-plano-para-recuperar-a-economia-da-ue-apos-a-pandemia/
2020-05-28,https://observador.pt/2020/05/28/estudo-preve-que-sem-confinamento-sns-portugues-teria-entrado-em-colapso/
